"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,44000000,"３ＬＤＫ",75,"2005年","ＳＲＣ","","","１種住居","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",12,34000000,"３ＤＫ",70,"1980年","ＳＲＣ","","","準工業","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,45000000,"３ＬＤＫ",80,"1999年","ＳＲＣ","","","１種住居","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,52000000,"３ＬＤＫ",80,"2005年","ＲＣ","","","１種住居","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",9,45000000,"３ＬＤＫ",70,"2008年","ＲＣ","","","準工業","","","2023年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",6,8000000,"１ＤＫ",25,"1981年","ＲＣ","","","準工業","","","2023年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,39000000,"３ＬＤＫ",70,"2008年","ＲＣ","","","準工業","","","2023年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",4,66000000,"３ＬＤＫ",90,"2004年","ＲＣ","","","準工業","","","2023年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,36000000,"３ＬＤＫ",65,"1981年","ＳＲＣ","","","","","","2023年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,37000000,"２ＬＤＫ",60,"2003年","ＲＣ","","","準工業","","","2023年第3四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,33000000,"２ＬＤＫ＋Ｓ",60,"1986年","ＳＲＣ","","","１種住居","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,42000000,"３ＬＤＫ",80,"2001年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,6000000,"１Ｒ",20,"1981年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",5,45000000,"３ＬＤＫ",75,"1981年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,44000000,"３ＬＤＫ",70,"1986年","ＳＲＣ","","","１種住居","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",4,40000000,"２ＬＤＫ",60,"1986年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,32000000,"１ＬＤＫ",60,"1989年","ＲＣ","","","１種住居","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",1,41000000,"２ＬＤＫ",60,"2001年","ＳＲＣ","","","商業","","","2023年第4四半期","改装済み",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",7,70000000,"３ＬＤＫ",70,"2022年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,42000000,"３ＬＤＫ",80,"2001年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",14,25000000,"１ＬＤＫ",65,"1979年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,66000000,"４ＬＤＫ",90,"2009年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",8,54000000,"３ＬＤＫ",75,"2009年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,52000000,"３ＬＤＫ",65,"2015年","ＲＣ","","","１種住居","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",14,44000000,"２ＬＤＫ",65,"2009年","ＲＣ","","","準工業","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",20,27000000,"３ＬＤＫ",75,"1999年","ＲＣ","","","準工業","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,30000000,"３ＤＫ",65,"1987年","ＳＲＣ","","","準工業","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",16,25000000,"２ＬＤＫ＋Ｓ",65,"1996年","ＳＲＣ","","","準工業","","","2023年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",14,51000000,"３ＬＤＫ",80,"2009年","ＲＣ","","","準工業","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,42000000,"２ＬＤＫ",55,"2015年","ＲＣ","","","１種住居","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",10,28000000,"３ＤＫ",65,"1987年","ＳＲＣ","","","","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",9,53000000,"３ＬＤＫ",65,"2015年","ＲＣ","","","","","","2023年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,41000000,"３ＬＤＫ",75,"2010年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",14,25000000,"２Ｋ",30,"2021年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",16,26000000,"２ＬＤＫ",60,"1996年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",10,29000000,"３ＬＤＫ",65,"1982年","ＳＲＣ","","","","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,43000000,"３ＬＤＫ",75,"2010年","","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",15,39000000,"３ＬＤＫ",90,"2003年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",13,49000000,"２ＬＤＫ",60,"2009年","ＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","東砂","東大島",10,26000000,"２ＬＤＫ",55,"1982年","ＳＲＣ","","","準工業","","","2023年第4四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",7,35000000,"２ＬＤＫ＋Ｓ",75,"1981年","ＳＲＣ","","","準工業","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",2,43000000,"２ＬＤＫ",70,"1986年","ＳＲＣ","","","１種住居","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",11,51000000,"３ＬＤＫ",80,"1999年","ＳＲＣ","","","１種住居","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",7,50000000,"３ＬＤＫ",90,"2003年","ＳＲＣ","","","","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","亀戸","東大島",10,46000000,"３ＬＤＫ",70,"2008年","ＲＣ","","","準工業","","","2024年第1四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",8,57000000,"３ＬＤＫ",80,"2001年","ＳＲＣ","","","準工業","","","2024年第2四半期","",""
"中古マンション等","成約価格情報","13108","東京都","江東区","大島","東大島",3,54000000,"５ＬＤＫ",105,"1986年","ＳＲＣ","","","１種住居","","","2024年第2四半期","",""
