種類,価格情報区分,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等,単価（円/㎡）
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"34,000,000",３ＬＤＫ,65,1982年,ＳＲＣ,,,,,,2022年第4四半期,,,"523,076"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"55,000,000",３ＬＤＫ＋Ｓ,80,2008年,ＲＣ,,,準工業,,,2022年第4四半期,,,"687,500"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"53,000,000",２ＬＤＫ,85,2005年,ＲＣ,,,１種住居,,,2022年第4四半期,,,"623,529"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"50,000,000",３ＬＤＫ,80,2005年,ＳＲＣ,,,１種住居,,,2022年第4四半期,,,"625,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"54,000,000",４ＬＤＫ＋Ｓ,95,2005年,ＳＲＣ,,,１種住居,,,2022年第4四半期,,,"568,421"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"52,000,000",３ＬＤＫ,85,2005年,ＳＲＣ,,,１種住居,,,2022年第4四半期,,,"611,764"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,18.0,"37,000,000",３ＬＤＫ,75,2005年,ＲＣ,,,準工業,,,2022年第1四半期,,,"493,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,,"28,000,000",３ＬＤＫ,75,1982年,ＳＲＣ,,,準工業,,,2022年第1四半期,,,"373,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"52,000,000",２ＬＤＫ＋Ｓ,70,2015年,ＲＣ,,,１種住居,,,2022年第1四半期,,,"742,857"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,18.0,"38,000,000",３ＬＤＫ,70,2005年,ＲＣ,,,準工業,,,2022年第1四半期,,,"542,857"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"34,000,000",３ＬＤＫ,75,2003年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"453,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,16.0,"44,000,000",２ＬＤＫ＋Ｓ,75,2010年,,,,準工業,,,2022年第2四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"50,000,000",３ＬＤＫ,65,2015年,ＲＣ,,,１種住居,,,2022年第2四半期,,,"769,230"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"27,000,000",３ＤＫ,65,1987年,ＳＲＣ,,,準工業,,,2022年第2四半期,,,"415,384"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,17.0,"30,000,000",３ＬＤＫ,85,1982年,ＲＣ,,,準工業,,,2022年第4四半期,,,"352,941"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"46,000,000",２ＬＤＫ,75,2010年,ＳＲＣ,,,準工業,,,2022年第4四半期,,,"613,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"42,000,000",３ＬＤＫ,75,2010年,ＲＣ,,,,,,2022年第4四半期,,,"560,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"25,000,000",２ＬＤＫ,60,2009年,ＲＣ,,,準工業,,,2022年第4四半期,,,"416,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,7.0,"43,000,000",３ＬＤＫ,70,2000年,ＳＲＣ,,,準工業,,,2023年第1四半期,,,"614,285"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,10.0,"58,000,000",３ＬＤＫ,85,2004年,ＲＣ,,,,,,2023年第1四半期,,,"682,352"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"8,700,000",１Ｒ,25,1981年,ＲＣ,,,工業,,,2023年第1四半期,,,"348,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"57,000,000",４ＬＤＫ,95,2005年,ＳＲＣ,,,１種住居,,,2023年第1四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"61,000,000",５ＬＤＫ,95,2005年,ＲＣ,,,１種住居,,,2023年第1四半期,,,"642,105"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"44,000,000",３ＬＤＫ,75,2005年,ＲＣ,,,１種住居,,,2023年第1四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"44,000,000",３ＬＤＫ,80,1999年,ＳＲＣ,,,１種住居,,,2023年第1四半期,,,"550,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,9.0,"54,000,000",３ＬＤＫ,85,2008年,ＲＣ,,,準工業,,,2023年第2四半期,,,"635,294"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"47,000,000",３ＬＤＫ,85,1981年,ＳＲＣ,,,準工業,,,2023年第2四半期,改装済み,,"552,941"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"31,000,000",２ＬＤＫ,60,1986年,ＳＲＣ,,,１種住居,,,2023年第2四半期,改装済み,,"516,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"42,000,000",３ＬＤＫ,70,1986年,ＳＲＣ,,,１種住居,,,2023年第2四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"37,000,000",３ＤＫ,65,1982年,ＳＲＣ,,,,,,2023年第2四半期,,,"569,230"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"39,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2023年第2四半期,,,"520,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,6.0,"44,000,000",４ＬＤＫ,95,1981年,ＳＲＣ,,,準工業,,,2023年第2四半期,,,"463,157"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"8,400,000",１Ｒ,20,1989年,ＳＲＣ,,,商業,,,2023年第2四半期,,,"420,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"44,000,000",３ＬＤＫ,75,2005年,ＳＲＣ,,,１種住居,,,2023年第2四半期,,,"586,666"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,12.0,"34,000,000",３ＤＫ,70,1980年,ＳＲＣ,,,準工業,,,2023年第2四半期,,,"485,714"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,11.0,"45,000,000",３ＬＤＫ,80,1999年,ＳＲＣ,,,１種住居,,,2023年第2四半期,,,"562,500"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"52,000,000",３ＬＤＫ,80,2005年,ＲＣ,,,１種住居,,,2023年第2四半期,,,"650,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,9.0,"45,000,000",３ＬＤＫ,70,2008年,ＲＣ,,,準工業,,,2023年第3四半期,,,"642,857"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,6.0,"8,000,000",１ＤＫ,25,1981年,ＲＣ,,,準工業,,,2023年第3四半期,,,"320,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"39,000,000",３ＬＤＫ,70,2008年,ＲＣ,,,準工業,,,2023年第3四半期,,,"557,142"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,4.0,"66,000,000",３ＬＤＫ,90,2004年,ＲＣ,,,準工業,,,2023年第3四半期,,,"733,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"36,000,000",３ＬＤＫ,65,1981年,ＳＲＣ,,,,,,2023年第3四半期,,,"553,846"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,10.0,"37,000,000",２ＬＤＫ,60,2003年,ＲＣ,,,準工業,,,2023年第3四半期,,,"616,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"33,000,000",２ＬＤＫ＋Ｓ,60,1986年,ＳＲＣ,,,１種住居,,,2023年第4四半期,,,"550,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"42,000,000",３ＬＤＫ,80,2001年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"525,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"6,000,000",１Ｒ,20,1981年,ＲＣ,,,準工業,,,2023年第4四半期,,,"300,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,5.0,"45,000,000",３ＬＤＫ,75,1981年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"600,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,3.0,"44,000,000",３ＬＤＫ,70,1986年,ＳＲＣ,,,１種住居,,,2023年第4四半期,,,"628,571"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,4.0,"40,000,000",２ＬＤＫ,60,1986年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"666,666"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,2.0,"32,000,000",１ＬＤＫ,60,1989年,ＲＣ,,,１種住居,,,2023年第4四半期,,,"533,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,1.0,"41,000,000",２ＬＤＫ,60,2001年,ＳＲＣ,,,商業,,,2023年第4四半期,改装済み,,"683,333"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,7.0,"70,000,000",３ＬＤＫ,70,2022年,ＲＣ,,,準工業,,,2023年第4四半期,,,"1,000,000"
中古マンション等,成約価格情報,13108,東京都,江東区,大島,東大島,8.0,"42,000,000",３ＬＤＫ,80,2001年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"525,000"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,14.0,"25,000,000",１ＬＤＫ,65,1979年,ＲＣ,,,準工業,,,2023年第4四半期,,,"384,615"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"66,000,000",４ＬＤＫ,90,2009年,ＲＣ,,,準工業,,,2023年第4四半期,,,"733,333"
中古マンション等,成約価格情報,13108,東京都,江東区,亀戸,東大島,8.0,"54,000,000",３ＬＤＫ,75,2009年,ＲＣ,,,準工業,,,2023年第4四半期,,,"720,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"52,000,000",３ＬＤＫ,65,2015年,ＲＣ,,,１種住居,,,2023年第1四半期,,,"800,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"44,000,000",２ＬＤＫ,65,2009年,ＲＣ,,,準工業,,,2023年第1四半期,,,"676,923"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,20.0,"27,000,000",３ＬＤＫ,75,1999年,ＲＣ,,,準工業,,,2023年第1四半期,,,"360,000"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"30,000,000",３ＤＫ,65,1987年,ＳＲＣ,,,準工業,,,2023年第1四半期,,,"461,538"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,16.0,"25,000,000",２ＬＤＫ＋Ｓ,65,1996年,ＳＲＣ,,,準工業,,,2023年第1四半期,,,"384,615"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"51,000,000",３ＬＤＫ,80,2009年,ＲＣ,,,準工業,,,2023年第2四半期,,,"637,500"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"42,000,000",２ＬＤＫ,55,2015年,ＲＣ,,,１種住居,,,2023年第2四半期,,,"763,636"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,10.0,"28,000,000",３ＤＫ,65,1987年,ＳＲＣ,,,,,,2023年第2四半期,,,"430,769"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,9.0,"53,000,000",３ＬＤＫ,65,2015年,ＲＣ,,,,,,2023年第2四半期,,,"815,384"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,15.0,"41,000,000",３ＬＤＫ,75,2010年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"546,666"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,14.0,"25,000,000",２Ｋ,30,2021年,ＲＣ,,,準工業,,,2023年第4四半期,,,"833,333"
中古マンション等,成約価格情報,13108,東京都,江東区,東砂,東大島,16.0,"26,000,000",２ＬＤＫ,60,1996年,ＳＲＣ,,,準工業,,,2023年第4四半期,,,"433,333"
