Actual Price,Predicted Price
53000000,67831666
140000000,125050000
40000000,25592666
210000000,130370000
27000000,16430000
35000000,32680000
40000000,42680000
25000000,23095714
40000000,47647833
54000000,48080000
47000000,38830000
31000000,63270000
23000000,23100000
55000000,48470000
45000000,46482000
40000000,44880000
160000000,167920000
24000000,46434000
20000000,25873333
100000000,84904166
41000000,34742000
30000000,26638000
170000000,127200000
34000000,35158500
21000000,20560000
180000000,147120000
74000000,68943166
53000000,47618333
40000000,52856333
75000000,77570000
80000000,93340000
60000000,63560000
20000000,30165200
59000000,78680000
80000000,71770000
25000000,28862000
44000000,42603333
33000000,42970000
73000000,57420000
77000000,56830000
52000000,44250000
37000000,43454500
55000000,61642142
55000000,76605000
30000000,27414404
65000000,68200000
16000000,21643666
57000000,58730000
56000000,46800000
40000000,44206666
150000000,163200000
27000000,22470000
20000000,48193333
34000000,24243000
82000000,72294833
50000000,49968000
56000000,51095998
75000000,67498833
75000000,83500000
21000000,24703333
240000000,202020000
49000000,77502500
130000000,136477142
36000000,39350000
63000000,59470000
31000000,33086666
22000000,25215000
27000000,16856000
51000000,46056666
68000000,79530000
51000000,65028809
62000000,68210000
48000000,49254333
90000000,92114000
50000000,67110000
110000000,91596666
30000000,45390000
68000000,93220000
120000000,104540000
13000000,13375000
12000000,15233000
33000000,44146000
73000000,56515000
58000000,55962500
80000000,43723666
56000000,50670000
58000000,64070000
33000000,37270000
34000000,59600000
53000000,70197500
54000000,58710000
26000000,31225333
28000000,30281297
60000000,72940000
72000000,74140000
40000000,40420000
59000000,52330000
77000000,90998666
91000000,135882500
42000000,45850000
53000000,54960000
120000000,118680000
130000000,110061666
90000000,100115357
60000000,27680000
36000000,64320000
29000000,28696666
42000000,54226666
21000000,20218333
75000000,64870000
68000000,55630000
31000000,24593333
90000000,103050000
12000000,15532000
72000000,110830000
37000000,39848666
53000000,50113333
19000000,21932666
50000000,40640000
25000000,44950000
28000000,25350000
13000000,11118000
30000000,43550000
58000000,59840000
28000000,28132959
76000000,60650000
75000000,52670000
28000000,39178000
230000000,195751666
22000000,21020000
27000000,61050000
25000000,26502000
120000000,114075476
29000000,24010000
34000000,46470000
50000000,48721666
20000000,33195000
11000000,10188000
140000000,141700000
110000000,105490000
24000000,21824857
150000000,133570000
66000000,62960000
35000000,39308904
80000000,73468333
30000000,24520000
29000000,37625833
52000000,31460000
39000000,40190000
19000000,25021666
73000000,68760000
35000000,43200000
95000000,88657500
33000000,24652000
35000000,32046000
32000000,37010000
140000000,131646962
110000000,147400000
60000000,69983500
78000000,75085000
190000000,193573333
54000000,53546666
23000000,18388000
8500000,8945000
57000000,84122500
29000000,24740547
25000000,44950000
90000000,98754047
150000000,194090000
26000000,24077500
54000000,69210000
17000000,32850000
40000000,48326666
120000000,129460966
49000000,48910000
41000000,51035000
51000000,54020000
25000000,33760000
33000000,44204940
70000000,74981285
51000000,46630000
